drug	gene
Aripiprazole lauroxil	HRH1
Aripiprazole lauroxil	HTR1A
Aripiprazole lauroxil	HTR1B
Aripiprazole lauroxil	HTR1D
Aripiprazole lauroxil	HTR1E
Aripiprazole lauroxil	HTR2A
Aripiprazole lauroxil	HTR2C
Aripiprazole lauroxil	HTR3A
Aripiprazole lauroxil	HTR6
Aripiprazole lauroxil	HTR7
Aripiprazole	OPRD1
Aripiprazole	OPRK1
Aripiprazole	OPRM1
Aripiprazole	SLC6A3
Aripiprazole	SLC6A4
Armodafinil	CYP1A2
Armodafinil	CYP2B6
Armodafinil	CYP2C19
Armodafinil	CYP2C9
Armodafinil	CYP3A4
Armodafinil	CYP3A5
Armodafinil	SLC6A3
Arsenic trioxide	ABCB1
Arsenic trioxide	ABCC2
Arsenic trioxide	AKT1
Arsenic trioxide	ALB
Arsenic trioxide	CCND1
Arsenic trioxide	CDKN1A
Arsenic trioxide	CYP3A4
Arsenic trioxide	HDAC1
Arsenic trioxide	IKBKB
Arsenic trioxide	JUN
Arsenic trioxide	MAPK1
Arsenic trioxide	MAPK3
Arsenic trioxide	PML
Arsenic trioxide	TXNRD1
Artemether	CYP2B6
Artemether	CYP2C19
Artemether	CYP2C9
Artemether	CYP3A4
Artemether	CYP3A5
Artenimol	ACTG1
Artenimol	ALB
Artenimol	ALDH7A1
Artenimol	ALDOA
Artenimol	ANXA2
Artenimol	ATP5A1
Artenimol	ATP5L
Artenimol	ATP5O
Artenimol	CAST
Artenimol	CCT3
Artenimol	CFL1
Artenimol	CLIC1
Artenimol	CSRP1
Artenimol	CYCS
Artenimol	CYP2C19
Artenimol	CYP2D6
Artenimol	DDX39B
Artenimol	DDX5
Artenimol	DPYSL2
Artenimol	DSP
Artenimol	EEF1A1
Artenimol	ENO1
Artenimol	FLNA
Artenimol	FTO
Artenimol	G6PD
Artenimol	GAPDH
Artenimol	GAPDHS
Artenimol	GPI
Artenimol	HNRNPA2B1
Artenimol	HNRNPD
Artenimol	HNRNPK
Artenimol	HP1BP3
Artenimol	HSPA8
Artenimol	HSPB1
Artenimol	IQGAP1
Artenimol	KHSRP
Artenimol	LDHA
Artenimol	LDHB
Artenimol	LGALS1
Artenimol	MAP4
Artenimol	MDH1
Artenimol	MYH9
Artenimol	NPEPPS
Artenimol	NPM1
Artenimol	P4HB
Artenimol	PFN1
Artenimol	PGAM1
Artenimol	PGK1
Artenimol	PKM
Artenimol	PPIA
Artenimol	PRDX1
Artenimol	RPL10
Artenimol	RPL14
Artenimol	RPL18
Artenimol	RPL23A
Artenimol	RPL35
Artenimol	RPL4
Artenimol	RPS13
Artenimol	RPS17
Artenimol	RPS18
Artenimol	RPS19
Artenimol	RPS28
Artenimol	RPS5
Artenimol	RPS6
Artenimol	RPS8
Artenimol	RPS9
Artenimol	SF1
Artenimol	SFPQ
Artenimol	SHMT2
Artenimol	SNRPD2
Artenimol	SRP14
Artenimol	SRSF4
Artenimol	TAGLN
Artenimol	TAGLN2
Artenimol	TPI1
Artenimol	TPM1
Artenimol	TUBA1A
Artenimol	TUBB
Artenimol	TUBB4A
Artenimol	TUBB6
Artenimol	UGT1A9
Artenimol	UGT2B7
Artenimol	VIM
Artenimol	ZYX
Artesunate	ABCB1
Artesunate	ABCG2
Artesunate	ALB
Artesunate	CYP2A6
Artesunate	SLC22A8
Artesunate	SLCO1B1
Artesunate	UGT1A9
Artesunate	UGT2B7
Arzoxifene	ESR1
Arzoxifene	ESR2
Asciminib	ABCB1
Asciminib	ABCG2
Asciminib	ABL1
Asciminib	CYP2C19
Asciminib	CYP2C9
Asciminib	CYP3A4
Asciminib	SLC22A1
Asciminib	SLCO1B1
Asciminib	SLCO1B3
Asciminib	UGT1A1
Asciminib	UGT2B17
Asciminib	UGT2B7
Ascorbic acid	ALB
Ascorbic acid	ALKBH2
Ascorbic acid	ALKBH3
Ascorbic acid	BBOX1
Ascorbic acid	DBH
Ascorbic acid	EGLN1
Ascorbic acid	EGLN2
Ascorbic acid	EGLN3
Ascorbic acid	KDM5D
Ascorbic acid	OGFOD1
Ascorbic acid	OGFOD2
Ascorbic acid	P3H1
Ascorbic acid	P3H2
Ascorbic acid	P3H3
Ascorbic acid	P4HA1
Ascorbic acid	P4HTM
Ascorbic acid	PAM
Ascorbic acid	PHYH
Ascorbic acid	PLOD1
Ascorbic acid	PLOD2
Ascorbic acid	PLOD3
Ascorbic acid	SLC23A1
Ascorbic acid	SLC23A2
Ascorbic acid	SLC2A1
Ascorbic acid	SLC2A3
Ascorbic acid	SLC2A4
Ascorbic acid	TMLHE
Ascorbic acid	TXNRD1
Asenapine	ADRA1A
Asenapine	ADRA2A
Asenapine	ADRA2B
Asenapine	ADRA2C
Asenapine	ADRB1
Asenapine	ADRB2
Asenapine	ALB
Asenapine	CYP1A2
Asenapine	CYP2D6
Asenapine	CYP3A4
Asenapine	DRD1
Asenapine	DRD2
Asenapine	DRD3
Asenapine	DRD4
Asenapine	HRH1
Asenapine	HRH2
Asenapine	HTR1A
Asenapine	HTR1B
Asenapine	HTR2A
Asenapine	HTR2B
Asenapine	HTR2C
Asenapine	HTR5A
Asenapine	HTR6
Asenapine	HTR7
Asenapine	ORM1
Asenapine	UGT1A4
Asparaginase Escherichia coli	SERPINA7
Asparagine	ASNS
Asparagine	ASRGL1
Asparagine	NARS
Asparagine	NARS2
Asparagine	SLC16A10
Asparagine	SLC1A5
Asparagine	SLC38A1
Aspartic acid	ACY1
Aspartic acid	ADSS
Aspartic acid	ADSSL1
Aspartic acid	ASNS
Aspartic acid	ASPA
Aspartic acid	ASPH
Aspartic acid	ASRGL1
Aspartic acid	ASS
Aspartic acid	ASS1
Aspartic acid	CAD
Aspartic acid	DARS
Aspartic acid	DARS2
Aspartic acid	GOT1
Aspartic acid	GOT2
Aspartic acid	LYZ
Aspartic acid	PAICS
Aspartic acid	RNASE1
Aspartic acid	SLC16A10
Aspartic acid	SLC1A1
Aspartic acid	SLC25A12
Aspartic acid	SLC25A13
Astemizole	ABCB1
Astemizole	ABCB11
Astemizole	CYP2D6
Astemizole	CYP2J2
Astemizole	CYP3A4
Astemizole	CYP3A5
Astemizole	CYP3A7
Astemizole	HRH1
Astemizole	KCNH1
Astemizole	KCNH2
Astemizole	MAPT
Asunaprevir	ABCB1
Asunaprevir	CYP2A6
Asunaprevir	CYP2B6
Asunaprevir	CYP2C19
Asunaprevir	CYP2C9
Asunaprevir	CYP2D6
Asunaprevir	CYP3A4
Asunaprevir	CYP3A5
Asunaprevir	SLCO1B1
Asunaprevir	SLCO1B3
Asunaprevir	SLCO2B1
Ataluren	SLC22A6
Ataluren	SLC22A8
Ataluren	SLCO1B3
Ataluren	UGT1A9
Atazanavir	ABCB1
Atazanavir	ABCB11
Atazanavir	ABCC1
Atazanavir	ALB
Atazanavir	CYP1A2
Atazanavir	CYP2C8
Atazanavir	CYP2C9
Atazanavir	CYP3A4
Atazanavir	ORM1
Atazanavir	SLCO1B1
Atazanavir	SLCO1B3
Atazanavir	SLCO2B1
Atazanavir	UGT1A1
Atenolol	ABCB11
Atenolol	ADRB1
Atenolol	ADRB2
Atenolol	ALB
Atenolol	CYP2D6
Atezolizumab	CD274
Atogepant	ABCB1
Atogepant	ABCG2
Atogepant	CALCRL
Atogepant	CYP3A4
Atogepant	SLC22A1
Atogepant	SLC22A6
Atogepant	SLC47A1
Atogepant	SLCO1B1
Atogepant	SLCO1B3
Atomoxetine	ALB
Atomoxetine	CYP2C19
Atomoxetine	CYP2D6
Atomoxetine	FCGR1A
Atomoxetine	GRIN1
Atomoxetine	KCNJ3
Atomoxetine	OPRK1
Atomoxetine	ORM1
Atomoxetine	SLC6A2
Atomoxetine	SLC6A4
Atorvastatin	ABCB1
Atorvastatin	ABCB11
Atorvastatin	ABCC1
Atorvastatin	ABCC2
Atorvastatin	ABCC4
Atorvastatin	ABCC5
Atorvastatin	AHR
Atorvastatin	ALB
Atorvastatin	CYP2B6
Atorvastatin	CYP2C19
Atorvastatin	CYP2C8
Atorvastatin	CYP2C9
Atorvastatin	CYP2D6
Atorvastatin	CYP3A4
Atorvastatin	CYP3A5
Atorvastatin	CYP3A7
Atorvastatin	DPP4
Atorvastatin	HDAC2
Atorvastatin	HMGCR
Atorvastatin	NR1I3
Atorvastatin	SLCO1A2
Atorvastatin	SLCO1B1
Atorvastatin	SLCO1B3
Atorvastatin	SLCO2B1
Atorvastatin	UGT1A1
Atorvastatin	UGT1A3
Atosiban	AVPR1A
Atosiban	AVPR1B
Atosiban	AVPR2
Atosiban	OXTR
Atovaquone	ABCB1
Atovaquone	CYP2C9
Atovaquone	CYP3A4
Atovaquone	DHODH
Atracurium besylate	CHRNA2
Atropine	ABCB11
Atropine	CHRM1
Atropine	CHRM2
Atropine	CHRM3
Atropine	CHRM4
Atropine	CHRM5
Atropine	CHRNA4
Atropine	CHRNB2
Atropine	GLRA1
Auranofin	ALB
Auranofin	IKBKB
Auranofin	PRDX5
Aurothioglucose	ADCY1
Aurothioglucose	ADCY2
Aurothioglucose	ADCY5
Avacopan	ABCB1
Avacopan	C5AR1
Avacopan	CYP1A2
Avacopan	CYP2B6
Avacopan	CYP2C9
Avacopan	CYP3A4
Avalglucosidase alfa	IGF2R
Avanafil	ABCB1
Avanafil	ABCG2
Avanafil	ALB
Avanafil	CYP2C9
Avanafil	CYP3A4
Avanafil	ORM1
Avanafil	PDE5A
Avapritinib	ABCB1
Avapritinib	ABCB11
Avapritinib	ABCG2
Avapritinib	CYP2C9
Avapritinib	CYP3A4
Avapritinib	KIT
Avapritinib	SLC47A1
Avapritinib	SLC47A2
Avatrombopag	ABCB1
Avatrombopag	ABCG2
Avatrombopag	CYP2C8
Avatrombopag	CYP2C9
Avatrombopag	MPL
Avatrombopag	SLC22A8
Avelumab	CD274
Avibactam	ABCC2
Avibactam	SLC22A8
Axicabtagene ciloleucel	CD19
Axitinib	ABCB1
Axitinib	CYP1A2
Axitinib	CYP2C19
Axitinib	CYP3A4
Axitinib	CYP3A5
Axitinib	FLT1
Axitinib	FLT4
Axitinib	KDR
Axitinib	SLCO1B1
Axitinib	UGT1A1
Azacitidine	CDA
Azacitidine	DNMT1
Azatadine	CYP3A4
Azatadine	HRH1
Azathioprine	ABCB1
Azathioprine	ALB
Azathioprine	CYP1A2
Azathioprine	GMPS
Azathioprine	GSTA1
Azathioprine	GSTA2
Azathioprine	GSTM1
Azathioprine	HPRT1
Azathioprine	IMPDH1
Azathioprine	IMPDH2
Azathioprine	ITPA
Azathioprine	NUDT15
Azathioprine	RAC1
Azathioprine	SLC28A3
Azathioprine	SLC29A2
Azathioprine	SLC43A3
Azathioprine	TPMT
Azathioprine	XDH
Azelaic acid	AKR1D1
Azelaic acid	SRD5A2
Azelaic acid	TYR
Azelastine	ABCB1
Azelastine	CYP1A1
Azelastine	CYP1A2
Azelastine	CYP2A6
Azelastine	CYP2B6
Azelastine	CYP2C19
Azelastine	CYP2C8
Azelastine	CYP2C9
Azelastine	CYP2D6
Azelastine	CYP2E1
Azelastine	CYP3A4
Azelastine	CYP3A5
Azelastine	HRH1
Azelastine	HRH2
Azelastine	LTC4S
Azelastine	PLA2G1B
Azilsartan medoxomil	ABCB1
Azilsartan medoxomil	AGTR1
Azilsartan medoxomil	ALB
Azilsartan medoxomil	CYP2B6
Azilsartan medoxomil	CYP2C8
Azilsartan medoxomil	CYP2C9
Azithromycin	ABCB1
Azithromycin	ABCC2
Azithromycin	CYP3A4
Azithromycin	PADI4
Bacitracin	A2M
Bacitracin	IDE
Baclofen	GABBR1
Baclofen	GABBR2
Baloxavir marboxil	ABCB5
Baloxavir marboxil	CYP3A4
Baloxavir marboxil	UGT1A3
Balsalazide	ALOX5
Balsalazide	PPARG
Balsalazide	PTGS1
Balsalazide	PTGS2
Baricitinib	ABCB1
Baricitinib	ABCG2
Baricitinib	CYP3A4
Baricitinib	JAK1
Baricitinib	JAK2
Baricitinib	JAK3
Baricitinib	PTK2B
Baricitinib	SLC22A2
Baricitinib	SLC22A6
Baricitinib	SLC22A8
Baricitinib	SLC47A2
Baricitinib	SLCO1B3
Basiliximab	IL2RA
Basiliximab	IL2RB
Bazedoxifene	ESR1
Bazedoxifene	ESR2
Bazedoxifene	UGT1A10
Bazedoxifene	UGT1A4
Bazedoxifene	UGT1A8
Becaplermin	A2M
Becaplermin	PDGFRA
Becaplermin	PDGFRB
Beclomethasone dipropionate	ABCB1
Beclomethasone dipropionate	ABCG2
Beclomethasone dipropionate	CYP3A4
Beclomethasone dipropionate	CYP3A5
Beclomethasone dipropionate	NR3C1
Beclomethasone dipropionate	SERPINA6
Beclomethasone dipropionate	SLCO1B1
Beclomethasone dipropionate	SLCO1B3
Bedaquiline	CYP3A4
Belantamab mafodotin	ABCB1
Belantamab mafodotin	ABCB11
Belantamab mafodotin	ABCC1
Belantamab mafodotin	ABCC2
Belantamab mafodotin	ABCC3
Belantamab mafodotin	SLCO1B1
Belantamab mafodotin	SLCO1B3
Belantamab mafodotin	TNFRSF17
Belatacept	CD80
Belatacept	CD86
Belimumab	TNFSF13B
Belinostat	ABCB1
Belinostat	CYP1A2
Belinostat	CYP2C8
Belinostat	CYP2C9
Belinostat	CYP3A4
Belinostat	HDAC1
Belinostat	UGT1A1
Belumosudil	ABCB1
Belumosudil	ABCG2
Belumosudil	ALB
Belumosudil	CYP1A2
Belumosudil	CYP2C19
Belumosudil	CYP2C8
Belumosudil	CYP2D6
Belumosudil	CYP3A4
Belumosudil	ORM1
Belumosudil	ROCK1
Belumosudil	ROCK2
Belumosudil	SLCO1B1
Belumosudil	UGT1A1
Belumosudil	UGT1A9
Belzutifan	ABCB1
Belzutifan	CYP2C19
Belzutifan	CYP3A4
Belzutifan	EPAS1
Belzutifan	SLC47A2
Belzutifan	SLCO1B1
Belzutifan	SLCO1B3
Belzutifan	UGT2B17
Bemiparin	F10
Bemiparin	SERPINC1
Bemiparin	SERPIND1
Bempedoic acid	ABCC3
Bempedoic acid	ACLY
Bempedoic acid	NUAK2
Bempedoic acid	SLC27A2
Bempedoic acid	SLCO1B1
Bempedoic acid	SLCO1B3
Bempedoic acid	UGT2B7
Benazepril	ACE
Benazepril	MTHFR
Benazepril	SLC15A1
Benazepril	SLC15A2
Bendamustine	CYP1A2
Bendazac	PTGS1
Bendazac	PTGS2
Bendroflumethiazide	CA1
Bendroflumethiazide	CA2
Bendroflumethiazide	CA4
Bendroflumethiazide	KCNMA1
Bendroflumethiazide	SLC12A3
Bendroflumethiazide	TPMT
Benralizumab	FCGR3A
Benralizumab	IL5RA
Benserazide	DDC
Benzatropine	ALB
Benzatropine	CHRM1
Benzatropine	HRH1
Benzatropine	SLC6A2
Benzatropine	SLC6A3
Benzatropine	SLC6A4
Benzocaine	ABCB1
Benzocaine	ALB
Benzocaine	CES1
Benzocaine	CYP1A2
Benzocaine	CYP2B6
Benzocaine	CYP2C19
Benzocaine	CYP2D6
Benzocaine	CYP2E1
Benzocaine	ORM1
Benzocaine	SCN10A
Benzoic acid	DAO
Benzoic acid	SLC15A1
Benzoic acid	SLC16A1
Benzoic acid	SLC22A8
Benzoic acid	SLCO2B1
Benzonatate	BCHE
Benzonatate	SCN5A
Benzoyl peroxide	AZIN2
Benzoyl peroxide	CAT
Benzoyl peroxide	GPX5
Benzoyl peroxide	PRKCA
Benzoyl peroxide	SOD3
Benzphetamine	ADRA1A
Benzphetamine	ADRA2A
Benzphetamine	CYP2B6
Benzphetamine	CYP3A4
Benzphetamine	POR
Benzphetamine	SLC18A2
Benzphetamine	SLC6A3
Benzthiazide	CA1
Benzthiazide	CA12
Benzthiazide	CA2
Benzthiazide	CA4
Benzthiazide	CA9
Benzthiazide	SLC12A3
Benzyl alcohol	ALDH2
Benzyl alcohol	CYP1A1
Benzyl alcohol	CYP1A2
Benzyl alcohol	CYP2C8
Benzyl alcohol	CYP2D6
Benzyl alcohol	CYP2E1
Benzylpenicillin	ALB
Benzylpenicillin	SLC15A1
Benzylpenicillin	SLC15A2
Benzylpenicillin	SLC22A11
Benzylpenicillin	SLC22A4
Benzylpenicillin	SLC22A5
Benzylpenicillin	SLC22A6
Benzylpenicillin	SLC22A8
Benzylpenicillin	SLCO1B1
Benzylpenicillin	SLCO2B1
Benzylpenicillin	SLCO3A1
Benzylpenicillin	SLCO4A1
Benzylpenicilloyl polylysine	FCER1A
Benzylpenicilloyl polylysine	FCER1G
Bepotastine	HRH1
Bepridil	ABCB1
Bepridil	ATP1A1
Bepridil	CACNA1A
Bepridil	CACNA1H
Bepridil	CACNA2D2
Bepridil	CALM1
Bepridil	CYP2D6
Bepridil	CYP3A4
Bepridil	KCNH2
Bepridil	KCNQ1
Bepridil	PDE1A
Bepridil	PDE1B
Bepridil	TNNC1
Berberine	BIRC5
Berotralstat	ABCB1
Berotralstat	ABCG2
Berotralstat	CYP2D6
Berotralstat	CYP3A4
Berotralstat	KLKB1
Besifloxacin	CYP1A2
Beta carotene	BCO1
Beta carotene	RBP1
Beta carotene	RBP2
Beta carotene	RBP3
Beta carotene	RBP4
Beta carotene	RBP5
Beta carotene	VLDLR
Betahistine	HRH1
Betahistine	HRH3
Betahistine	MAOA
Betaine	BCHE
Betaine	BCL2
Betaine	PRODH
Betamethasone	ABCB1
Betamethasone	ALB
Betamethasone	CYP19A1
Betamethasone	CYP1B1
Betamethasone	CYP2A6
Betamethasone	CYP2B6
Betamethasone	CYP2C19
Betamethasone	CYP2C8
Betamethasone	CYP2C9
Betamethasone	CYP3A4
Betamethasone	CYP3A5
Betamethasone	CYP3A7
Betamethasone	NR3C1
Betamethasone phosphate	ABCB1
Betamethasone phosphate	ALB
Betamethasone phosphate	ANXA1
Betamethasone phosphate	CYP3A4
Betamethasone phosphate	CYP3A5
Betamethasone phosphate	NR3C1
Betamethasone phosphate	SERPINA6
Betamethasone phosphate	SLC22A8
Betamethasone phosphate	SLCO1A2
Betamethasone	SERPINA6
Betaxolol	ADRB1
Betaxolol	ADRB2
Betaxolol	CYP1A2
Betaxolol	CYP2D6
Betazole	HRH2
Bethanechol	CHRM1
Bethanechol	CHRM2
Bethanechol	CHRM3
Bethanechol	CHRM4
Bethanechol	CHRM5
Bethanidine	ADRA2A
Bethanidine	ADRB1
Bethanidine	KCNJ1
Betrixaban	ABCB1
Betrixaban	F10
Betrixaban	KCNH2
Bevacizumab	C1QA
Bevacizumab	C1QB
Bevacizumab	C1QC
Bevacizumab	FCGR1A
Bevacizumab	FCGR2A
Bevacizumab	FCGR2B
Bevacizumab	FCGR2C
Bevacizumab	FCGR3A
Bevacizumab	VEGFA
Bexarotene	CYP2C8
Bexarotene	CYP3A4
Bexarotene	RXRA
Bexarotene	RXRB
Bexarotene	RXRG
Bezafibrate	CYP1A1
Bezafibrate	CYP2C8
Bezafibrate	CYP3A4
Bezafibrate	NR1I2
Bezafibrate	PPARA
Bezafibrate	PPARD
Bezafibrate	PPARG
Bezafibrate	RXRA
Bezafibrate	RXRB
Bezafibrate	RXRG
Bezafibrate	SLCO1B1
Bicalutamide	ABCB1
Bicalutamide	AR
Bicalutamide	CYP2C19
Bicalutamide	CYP2C9
Bicalutamide	CYP2D6
Bicalutamide	CYP3A4
Bictegravir	CYP3A4
Bictegravir	POU2F2
Bictegravir	SLC47A1
Bictegravir	UGT1A1
Bifonazole	CYP19A1
Bifonazole	CYP2B6
Bifonazole	CYP2E1
Bifonazole	CYP3A4
Bilastine	ABCB5
Bilastine	HRH1
Bilastine	SLCO1A2
Bilastine	SLCO2B1
Bimatoprost	CYP3A4
Bimatoprost	CYP3A5
Bimatoprost	PTGER1
Bimatoprost	PTGER3
Bimatoprost	PTGFR
Binimetinib	CYP1A2
Binimetinib	CYP2C19
Binimetinib	IL1B
Binimetinib	IL6
Binimetinib	MAP2K2
Binimetinib	MAP3K1
Binimetinib	TNF
Binimetinib	UGT1A1
Bioallethrin	CACNA1A
Bioallethrin	CACNA1C
Bioallethrin	CACNA1G
Bioallethrin	CACNG1
Bioallethrin	CYP2C19
Bioallethrin	CYP2C8
Bioallethrin	CYP2C9
Bioallethrin	CYP3A4
Bioallethrin	SCN1A
Biotin	ACACA
Biotin	ACACB
Biotin	CYP1B1
Biotin	HLCS
Biotin	MCCC1
Biotin	MCCC2
Biotin	PC
Biotin	PCCA
Biotin	PCCB
Biotin	SLC5A6
Biotin	SLC5A8
Biperiden	CHRM1
Biperiden	CYP2D6
Bisacodyl	AQP3
Bisacodyl	ATP1A1
Bismuth subgallate	ALB
Bismuth subsalicylate	ALB
Bismuth subsalicylate	TF
Bisoprolol	ABCB1
Bisoprolol	ADRB1
Bisoprolol	ADRB2
Bisoprolol	CYP3A4
Bivalirudin	F2
Bivalirudin	MPO
Bleomycin	BLMH
Bleomycin	LIG1
Bleomycin	LIG3
Blinatumomab	CD19
Blinatumomab	CD3D
Boceprevir	ABCB1
Boceprevir	CYP3A4
Boceprevir	CYP3A5
Bortezomib	ABCB1
Bortezomib	CYP1A2
Bortezomib	CYP2C19
Bortezomib	CYP2C9
Bortezomib	CYP2D6
Bortezomib	CYP3A4
Bortezomib	PSMB1
Bortezomib	PSMB5
Bortezomib	SLCO1B3
Bosentan	ABCB11
Bosentan	CYP2C9
Bosentan	CYP3A4
Bosentan	EDNRA
Bosentan	EDNRB
Bosutinib	ABCB1
Bosutinib	ABL1
Bosutinib	BCR
Bosutinib	CAMK2G
Bosutinib	CDK2
Bosutinib	CYP2C8
Bosutinib	CYP3A4
Bosutinib	HCK
Bosutinib	LYN
Bosutinib	MAP2K1
Bosutinib	MAP2K2
Bosutinib	MAP3K2
Bosutinib	SRC
Botulinum toxin type A	ALB
Botulinum toxin type A	RHOB
Botulinum toxin type A	SNAP25
Botulinum toxin type B	SYT2
Botulinum toxin type B	VAMP1
Botulinum toxin type B	VAMP2
Bremelanotide	MC1R
Bremelanotide	MC2R
Bremelanotide	MC3R
Bremelanotide	MC4R
Bremelanotide	MC5R
Brentuximab vedotin	ABCB5
Brentuximab vedotin	CYP3A4
Brentuximab vedotin	TNFRSF8
Bretylium	ATP1A1
Brexanolone	AKR1B1
Brexanolone	GABRA1
Brexpiprazole	ADRA1B
Brexpiprazole	ADRA2C
Brexpiprazole	CYP2D6
Brexpiprazole	CYP3A4
Brexpiprazole	DRD2
Brexpiprazole	HTR1A
Brexpiprazole	HTR2A
Brexucabtagene autoleucel	CD19
Brigatinib	ABCB5
Brigatinib	ABCG2
Brigatinib	ABL1
Brigatinib	ALK
Brigatinib	CYP2C8
Brigatinib	CYP3A4
Brigatinib	EGFR
Brigatinib	ERBB2
Brigatinib	ERBB4
Brigatinib	FLT3
Brigatinib	IGF1R
Brigatinib	INSR
Brigatinib	MET
Brigatinib	SLC22A1
Brigatinib	SLC47A1
Brigatinib	SLC47A2
Brimonidine	ADRA2A
Brimonidine	ADRA2B
Brimonidine	ADRA2C
Brimonidine	AOX1
Brincidofovir	ABCB11
Brincidofovir	ABCC2
Brincidofovir	ABCG2
Brincidofovir	CYP1A2
Brincidofovir	CYP2B6
Brincidofovir	CYP2C19
Brincidofovir	CYP2C8
Brincidofovir	CYP2C9
Brincidofovir	CYP2D6
Brincidofovir	CYP4F2
Brincidofovir	SLC22A6
Brincidofovir	SLC22A8
Brincidofovir	SLCO1B1
Brincidofovir	SLCO1B3
Brincidofovir	SMPD1
Brincidofovir	VARV-POL
Brinzolamide	CA1
Brinzolamide	CA2
Brinzolamide	CA3
Brinzolamide	CA4
Brinzolamide	CA5A
Brinzolamide	CYP3A4
Brivaracetam	CYP2B6
Brivaracetam	CYP2C19
Brivaracetam	CYP2C9
Brivaracetam	CYP3A4
Brivaracetam	SCN1A
Brivaracetam	SV2A
Brivudine	TK2
Brolucizumab	VEGFA
Bromazepam	CYP1A2
Bromazepam	CYP2C19
Bromazepam	CYP2E1
Bromazepam	GABRA1
Bromfenac	PTGS1
Bromfenac	PTGS2
Bromhexine	ACE2
Bromhexine	TMPRSS2
Bromocriptine	ABCB1
Bromocriptine	ADRA1A
Bromocriptine	ADRA1B
Bromocriptine	ADRA1D
Bromocriptine	ADRA2A
Bromocriptine	ADRA2B
Bromocriptine	ADRA2C
Bromocriptine	CYP3A4
Bromocriptine	DRD1
Bromocriptine	DRD2
Bromocriptine	DRD3
Bromocriptine	DRD4
Bromocriptine	DRD5
Bromocriptine	HTR1A
Bromocriptine	HTR1B
Bromocriptine	HTR1D
Bromocriptine	HTR2A
Bromocriptine	HTR2B
Bromocriptine	HTR2C
Bromocriptine	HTR7
Bromodiphenhydramine	HRH1
Bromodiphenhydramine	SLC22A6
Bromotheophylline	CYP1A2
Brompheniramine	CHRM1
Brompheniramine	CHRM2
Brompheniramine	CHRM3
Brompheniramine	CHRM4
Brompheniramine	CHRM5
Brompheniramine	HRH1
Buclizine	CHRM1
Buclizine	HRH1
Budesonide	ABCB1
Budesonide	ABCB11
Budesonide	ALB
Budesonide	ANXA1
Budesonide	CYP1B1
Budesonide	CYP2A6
Budesonide	CYP2B6
Budesonide	CYP2C19
Budesonide	CYP2C8
Budesonide	CYP2C9
Budesonide	CYP3A4
Budesonide	CYP3A5
Budesonide	NR3C1
Budesonide	SERPINA6
Budesonide	SLC22A8
Budesonide	SLCO1A2
Bufexamac	HDAC10
Bufexamac	HDAC6
Bufexamac	PTGS1
Bufexamac	PTGS2
Bulevirtide	ALB
Bulevirtide	SLC10A1
Bumetanide	CFTR
Bumetanide	PTGS2
Bumetanide	SLC10A1
Bumetanide	SLC12A1
Bumetanide	SLC12A2
Bumetanide	SLC12A4
Bumetanide	SLC12A5
Bumetanide	SLC22A11
Bumetanide	SLC22A6
Bumetanide	SLC22A7
Bumetanide	SLC22A8
Bumetanide	SLCO1A2
Bupivacaine	CYP2C19
Bupivacaine	CYP2D6
Bupivacaine	CYP3A4
Bupivacaine	PTGER1
Bupivacaine	SCN10A
Buprenorphine	ABCB1
Buprenorphine	ABCG2
Buprenorphine	CYP2C18
Buprenorphine	CYP2C19
Buprenorphine	CYP2C8
Buprenorphine	CYP2C9
Buprenorphine	CYP2D6
Buprenorphine	CYP3A4
Buprenorphine	CYP3A5
Buprenorphine	CYP3A7
Buprenorphine	OPRD1
Buprenorphine	OPRK1
Buprenorphine	OPRL1
Buprenorphine	OPRM1
Bupropion	CHRNA3
Bupropion	CYP2B6
Bupropion	CYP2C9
Bupropion	CYP2D6
Bupropion	CYP2E1
Bupropion	HTR3A
Bupropion	ORM1
Bupropion	SLC22A2
Bupropion	SLC6A2
Bupropion	SLC6A3
Burosumab	FGF23
Buserelin	CYP19A1
Buserelin	GNRHR
Buserelin	LHCGR
Buspirone	ABCB1
Buspirone	ADRA1A
Buspirone	ALB
Buspirone	CYP2D6
Buspirone	CYP3A4
Buspirone	CYP3A5
Buspirone	CYP3A7
Buspirone	DRD2
Buspirone	DRD3
Buspirone	DRD4
Buspirone	HTR1A
Buspirone	ORM1
Busulfan	CYP3A4
Busulfan	GSTA1
Busulfan	GSTA2
Busulfan	GSTM1
Busulfan	GSTP1
Busulfan	MGST2
Butabarbital	ALB
Butabarbital	CHRNA10
Butabarbital	GABRA1
Butabarbital	GRIA1
Butabarbital	GRIA2
Butabarbital	GRIA3
Butabarbital	GRIA4
Butabarbital	GRIK1
Butabarbital	GRIK2
Butabarbital	GRIK3
Butabarbital	GRIK4
Butabarbital	GRIK5
Butabarbital	SLC2A1
Butalbital	CHRNA4
Butalbital	CHRNA7
Butalbital	GABRA1
Butalbital	GABRA2
Butalbital	GABRA3
Butalbital	GABRA4
Butalbital	GABRA5
Butalbital	GABRA6
Butalbital	GRIA2
Butalbital	GRIK2
Butamben	ALB
Butamben	BCHE
Butamben	CACNG1
Butamben	KCNJ1
Butamben	ORM1
Butamben	TRPA1
Butamben	TRPV4
Butenafine	SQLE
Butobarbital	CHRNA4
